country,kind,series_name,title,month,base_year,base_value,currency,value,scope_sections,source_url,is_placeholder,provenance_note,replace_with
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2022-11,2024,100.0,SGD,95.396,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2022-12,2024,100.0,SGD,95.591,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-01,2024,100.0,SGD,95.772,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-02,2024,100.0,SGD,96.308,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-03,2024,100.0,SGD,96.792,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-04,2024,100.0,SGD,96.869,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-05,2024,100.0,SGD,97.181,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-06,2024,100.0,SGD,97.645,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-07,2024,100.0,SGD,97.417,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-08,2024,100.0,SGD,98.278,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-09,2024,100.0,SGD,98.776,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-10,2024,100.0,SGD,98.974,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-11,2024,100.0,SGD,98.808,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-12,2024,100.0,SGD,99.177,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2024-01,2024,100.0,SGD,98.752,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2024-02,2024,100.0,SGD,99.755,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2024-03,2024,100.0,SGD,99.712,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2024-04,2024,100.0,SGD,99.426,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2024-05,2024,100.0,SGD,100.209,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2024-06,2024,100.0,SGD,100.104,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2024-07,2024,100.0,SGD,99.818,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2024-08,2024,100.0,SGD,100.414,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2024-09,2024,100.0,SGD,100.645,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2024-10,2024,100.0,SGD,100.119,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2024-11,2024,100.0,SGD,100.387,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2024-12,2024,100.0,SGD,100.661,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2025-01,2024,100.0,SGD,99.908,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2025-02,2024,100.0,SGD,100.677,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2025-03,2024,100.0,SGD,100.599,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2025-04,2024,100.0,SGD,100.283,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2025-05,2024,100.0,SGD,100.978,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2025-06,2024,100.0,SGD,100.9,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2025-07,2024,100.0,SGD,100.447,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2025-08,2024,100.0,SGD,100.963,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2025-09,2024,100.0,SGD,101.32,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2025-10,2024,100.0,SGD,101.33,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2025-11,2024,100.0,SGD,101.579,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2025-12,2024,100.0,SGD,101.854,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2026-01,2024,100.0,SGD,101.333,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2026-02,2024,100.0,SGD,101.918,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2026-03,2024,100.0,SGD,102.405,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2026-04,2024,100.0,SGD,102.052,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2026-05,2024,100.0,SGD,102.814,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2026-06,2024,100.0,SGD,102.858,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
SG,CPI,CPI-ALL,"Consumer Price Index, All Items",2026-07,2024,100.0,SGD,102.696,,https://tablebuilder.singstat.gov.sg/api/table/tabledata/M213751,false,"REAL. SingStat Table Builder table M213751, 'Consumer Price Index (CPI), 2024 As Base Year, Monthly', row 'All Items', publisher Singapore Department of Statistics. Consumer Price Index (CPI), 2024 As Base Year, Monthly; source data last updated 24/08/2026. Value taken as published, no transformation. Retrieved 2026-09-11.",
IN,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-01,2024,100.0,INR,93.0,,https://api.mospi.gov.in/api/cpi/getCPIData?base_year=2024&year=<YEAR>&month_code=<MONTH>&limit=100&page=1&sector_code=3,false,"REAL. Consumer Price Index, Combined (rural + urban), All-India General index, base 2024 = 100, published monthly by the Ministry of Statistics and Programme Implementation / National Statistical Office, Government of India (eSankhyiki API, sector Combined, state All India). Value taken as published, no transformation. Retrieved 2026-09-11. These months are the publisher's own BACK-CAST series on this base (`series=Back` from the same API), not a rescaled older series, so they are published values.",
IN,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-02,2024,100.0,INR,93.1,,https://api.mospi.gov.in/api/cpi/getCPIData?base_year=2024&year=<YEAR>&month_code=<MONTH>&limit=100&page=1&sector_code=3,false,"REAL. Consumer Price Index, Combined (rural + urban), All-India General index, base 2024 = 100, published monthly by the Ministry of Statistics and Programme Implementation / National Statistical Office, Government of India (eSankhyiki API, sector Combined, state All India). Value taken as published, no transformation. Retrieved 2026-09-11. These months are the publisher's own BACK-CAST series on this base (`series=Back` from the same API), not a rescaled older series, so they are published values.",
IN,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-03,2024,100.0,INR,93.3,,https://api.mospi.gov.in/api/cpi/getCPIData?base_year=2024&year=<YEAR>&month_code=<MONTH>&limit=100&page=1&sector_code=3,false,"REAL. Consumer Price Index, Combined (rural + urban), All-India General index, base 2024 = 100, published monthly by the Ministry of Statistics and Programme Implementation / National Statistical Office, Government of India (eSankhyiki API, sector Combined, state All India). Value taken as published, no transformation. Retrieved 2026-09-11. These months are the publisher's own BACK-CAST series on this base (`series=Back` from the same API), not a rescaled older series, so they are published values.",
IN,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-04,2024,100.0,INR,93.8,,https://api.mospi.gov.in/api/cpi/getCPIData?base_year=2024&year=<YEAR>&month_code=<MONTH>&limit=100&page=1&sector_code=3,false,"REAL. Consumer Price Index, Combined (rural + urban), All-India General index, base 2024 = 100, published monthly by the Ministry of Statistics and Programme Implementation / National Statistical Office, Government of India (eSankhyiki API, sector Combined, state All India). Value taken as published, no transformation. Retrieved 2026-09-11. These months are the publisher's own BACK-CAST series on this base (`series=Back` from the same API), not a rescaled older series, so they are published values.",
IN,CPI,CPI-ALL,"Consumer Price Index, All Items",2023-05,2024,100.0,INR,94.3,,https://api.mospi.gov.in/api/cpi/getCPIData?base_year=2024&year=<YEAR>&month_code=<MONTH>&limit=100&page=1&sector_code=3,false,"REAL. Consumer Price Index, Combined (rural + urban), All-India General index, base 2024 = 100, published monthly by the Ministry of Statistics and Programme Implementation / National Statistical Office, Government of India (eSankhyiki API, sector Combined, state All India). Value taken as published, no transformation. Retrieved 2026-09-11. These months are the publisher's own BACK-CAST series on this base (`series=Back` from the same API), not a rescaled older series, so they are published values.",
